Method,Joint,len5_cc,len5_nrmse,len10_cc,len10_nrmse,len25_cc,len25_nrmse,len50_cc,len50_nrmse,len100_cc,len100_nrmse
NN,Joint 1,,,,,,,,,0.5370540952728277,0.9666605472564698
NN,Joint 2,,,,,,,,,0.6506960800981342,0.8062028884887695
NN,Joint 3,,,,,,,,,0.6246647191510963,0.809686255455017
NN,Joint 4,,,,,,,,,0.2646202923942208,0.9833715558052063
NN,Joint 5,,,,,,,,,0.2714253112148385,1.0494596242904664
NN,Joint 6,,,,,,,,,0.20164329283364085,1.0080789566040038
PA,Joint 1,,,,,,,,,0.6805122656916776,0.8355070590972901
PA,Joint 2,,,,,,,,,0.5006109613267813,0.986779248714447
PA,Joint 3,,,,,,,,,0.626772789314402,0.7836642742156983
PA,Joint 4,,,,,,,,,0.5250443281686832,0.8936386704444885
PA,Joint 5,,,,,,,,,0.48892948992502233,0.9414963364601135
PA,Joint 6,,,,,,,,,0.6724258629084392,0.7850063681602478
PG,Joint 1,,,,,,,,,0.5874929788138042,0.8492271065711975
PG,Joint 2,,,,,,,,,0.5618100339318756,0.9544156432151795
PG,Joint 3,,,,,,,,,0.6380173243601749,0.7994708299636841
PG,Joint 4,,,,,,,,,0.15650078648855842,1.069971752166748
PG,Joint 5,,,,,,,,,0.34439246015577096,0.9969090223312378
PG,Joint 6,,,,,,,,,0.03310735170459726,1.1201374530792236
