Method,Complexity,Joint,Value
NN,20,Joint 1,1.1379040479660034
NN,20,Joint 2,0.4252574443817138
NN,20,Joint 3,0.4394888579845428
NN,20,Joint 4,0.987030863761902
NN,20,Joint 5,0.8073481321334839
NN,20,Joint 6,1.05331289768219
NN,40,Joint 1,1.012884497642517
NN,40,Joint 2,0.368047833442688
NN,40,Joint 3,0.4370573461055755
NN,40,Joint 4,0.9647703766822816
NN,40,Joint 5,0.6671501398086548
NN,40,Joint 6,1.047640323638916
NN,60,Joint 1,1.0686841011047363
NN,60,Joint 2,0.3789522349834442
NN,60,Joint 3,0.4160257279872894
NN,60,Joint 4,0.9577409625053406
NN,60,Joint 5,0.5992289185523987
NN,60,Joint 6,1.026252508163452
PG,20,Joint 1,1.0174832344055176
PG,20,Joint 2,0.371903657913208
PG,20,Joint 3,0.3690466284751892
PG,20,Joint 4,1.030833721160889
PG,20,Joint 5,0.6560617089271545
PG,20,Joint 6,0.9612762331962584
PG,40,Joint 1,1.0153839588165283
PG,40,Joint 2,0.3557629287242889
PG,40,Joint 3,0.3984346687793731
PG,40,Joint 4,1.004643201828003
PG,40,Joint 5,0.7021430730819702
PG,40,Joint 6,1.0860763788223269
PG,60,Joint 1,0.9191298484802246
PG,60,Joint 2,0.3540859818458557
PG,60,Joint 3,0.4536735415458679
PG,60,Joint 4,1.105290770530701
PG,60,Joint 5,0.6343584060668945
PG,60,Joint 6,0.9593506455421448
PA,20,Joint 1,1.0602121353149414
PA,20,Joint 2,0.4984556436538696
PA,20,Joint 3,0.4648013412952423
PA,20,Joint 4,1.0876688957214355
PA,20,Joint 5,0.68561190366745
PA,20,Joint 6,1.1124874353408811
PA,40,Joint 1,1.0395172834396362
PA,40,Joint 2,0.4901422560214996
PA,40,Joint 3,0.5217841863632202
PA,40,Joint 4,1.0612322092056274
PA,40,Joint 5,0.6485793590545654
PA,40,Joint 6,1.062164545059204
PA,60,Joint 1,1.095057249069214
PA,60,Joint 2,0.3995127081871032
PA,60,Joint 3,0.3809241056442261
PA,60,Joint 4,1.0536764860153198
PA,60,Joint 5,0.5820710062980652
PA,60,Joint 6,0.9806131720542908
