,h_dim,z_dim,n_layers,seq_len_train,batch_size,lr_scheduler_nepochs,lr_scheduler_factor,model_param,marginal_likeli,vaf,rmse
0,70,5,1,64,128,10,10,81362,-1.8810953295950865,62.722879304355864,1.5347374576543953
0,70,5,1,64,128,10,10,81362,-1.911446835796885,62.34136440669309,1.5426178207977834
0,70,5,1,64,128,10,10,81362,-2.2583802939688944,56.56641968799634,1.660853975079888
0,70,5,1,64,128,10,10,81362,-1.911223148275438,62.11822828943314,1.5463702593981181
0,70,5,1,64,128,10,10,81362,-2.3027582710172894,56.939422571211004,1.6752327808700835
0,70,5,1,64,128,10,10,81362,-2.0762790258060075,59.004267399978986,1.5995951240977577
0,70,5,1,64,128,10,10,81362,-2.151155148484634,57.39070714961756,1.6501310631383932
0,70,5,1,64,128,10,10,81362,-1.9201889117813178,61.39700515822604,1.5664287152070533
0,70,5,1,64,128,10,10,81362,-1.9549022374540312,60.46891206862255,1.587313204125509
0,70,5,1,64,128,10,10,81362,-2.008080005261514,60.40472197643264,1.5851206732603302
0,70,5,1,64,128,10,10,81362,-2.1069681652351364,57.93547782477005,1.6353702145054776
0,70,5,1,64,128,10,10,81362,-1.953189230218785,60.51464066000636,1.592385677152114
0,70,5,1,64,128,10,10,81362,-2.4489810948467894,56.01488562963524,1.6849615543435037
0,70,5,1,64,128,10,10,81362,-1.9125825452222451,61.66868385249035,1.5515855512919947
0,70,5,1,64,128,10,10,81362,-1.9310089887133897,61.36751185264172,1.5680591141255318
0,70,5,1,64,128,10,10,81362,-2.227494116847372,56.50469631805552,1.66671266901993
0,70,5,1,64,128,10,10,81362,-1.9509073795277225,61.168127688867216,1.5789833165633707
