Method,Joint,rad_dsam_cc_std,rad_dsam_nrmse_std,rad_dsam_puma_noG_cc_std,rad_dsam_puma_noG_nrmse_std
NN,Joint 1,0.024332843725441766,0.12480355625412118,0.05992601827491478,0.06494953329539219
NN,Joint 2,0.029371065270912534,0.028518905967853194,0.027273991067250883,0.012290090849478895
NN,Joint 3,0.01966211971534435,0.022610931588363047,0.026310648523602872,0.0293509543203505
NN,Joint 4,0.08427519830697067,0.0264666691127249,0.095795904982574,0.03849851483152227
NN,Joint 5,0.0678063492186511,0.01946761268735451,0.0548865799805029,0.03914857322405245
NN,Joint 6,0.04561702227851367,0.042813993365089134,0.06232218750914959,0.06818063292643761
PA,Joint 1,0.011862913858146308,0.04312337344249673,0.07755722034558359,0.13276264248153338
PA,Joint 2,0.009926230803226488,0.04618468439524471,0.04050586107088318,0.05800922419143841
PA,Joint 3,0.009731022465403916,0.008158422834103072,0.028678184597488977,0.033825034263764826
PA,Joint 4,0.019495112158467377,0.017385647656708587,0.05958343738438301,0.05105109998583816
PA,Joint 5,0.028328313618102594,0.019859358158206424,0.049689385545271844,0.021980078604316975
PA,Joint 6,0.011946182813353686,0.015822513624227687,0.12942694721989945,0.046813094742247735
PG,Joint 1,0.1034332398985123,0.07743251557032893,0.015252965840557369,0.017348854840612184
PG,Joint 2,0.02484989839976001,0.06213162343161489,0.04524474427844824,0.056798978209567925
PG,Joint 3,0.04012127118668838,0.02115390983793273,0.027001534712624505,0.03083607831736173
PG,Joint 4,0.08435326523832874,0.07725379379220791,0.0889443146359694,0.03929082390588159
PG,Joint 5,0.04002027828367378,0.05589700170795825,0.04264216632671169,0.06767071861881163
PG,Joint 6,0.08909243411732122,0.11237348383942425,0.09137388598658658,0.025344275540491262
