Method,Joint,rad_dsam_nrmse_std,rad_dsam_puma_noG_nrmse_std
NN,Joint 1,0.12480355625412118,0.06494953329539219
NN,Joint 2,0.028518905967853194,0.012290090849478895
NN,Joint 3,0.022610931588363047,0.0293509543203505
NN,Joint 4,0.0264666691127249,0.03849851483152227
NN,Joint 5,0.01946761268735451,0.03914857322405245
NN,Joint 6,0.042813993365089134,0.06818063292643761
PA,Joint 1,0.04312337344249673,0.13276264248153338
PA,Joint 2,0.04618468439524471,0.05800922419143841
PA,Joint 3,0.008158422834103072,0.033825034263764826
PA,Joint 4,0.017385647656708587,0.05105109998583816
PA,Joint 5,0.019859358158206424,0.021980078604316975
PA,Joint 6,0.015822513624227687,0.046813094742247735
PG,Joint 1,0.07743251557032893,0.017348854840612184
PG,Joint 2,0.06213162343161489,0.056798978209567925
PG,Joint 3,0.02115390983793273,0.03083607831736173
PG,Joint 4,0.07725379379220791,0.03929082390588159
PG,Joint 5,0.05589700170795825,0.06767071861881163
PG,Joint 6,0.11237348383942425,0.025344275540491262
