Method,Joint,rad_dsam_puma_noG_nrmse
NN,Joint 1,0.9646647930145263
NN,Joint 2,0.8114097356796265
NN,Joint 3,0.7996710300445556
NN,Joint 4,0.9956358671188354
NN,Joint 5,1.0256702184677124
NN,Joint 6,1.0376510858535766
PA,Joint 1,0.8423774123191834
PA,Joint 2,0.9224431157112122
PA,Joint 3,0.8807671308517456
PA,Joint 4,0.8701123237609864
PA,Joint 5,0.9576357722282409
PA,Joint 6,0.8800894856452942
PG,Joint 1,0.8045054197311401
PG,Joint 2,0.964893901348114
PG,Joint 3,0.8062517881393433
PG,Joint 4,1.0043403029441833
PG,Joint 5,0.9904194831848144
PG,Joint 6,1.0307999134063721
